greenery,water,urban,lat,lon,patch_idx
0.9666666667,3.144444444,95.88888889,40.754913,-73.976571,ny_175
0.001111111111,0.7422222222,99.25666667,40.753734,-73.976571,ny_176
6.811111111,2.392222222,90.79666667,40.752556,-73.976571,ny_177
0.002222222222,2.983333333,97.01444444,40.751377,-73.976571,ny_178
1.433333333,6.891111111,91.67555556,40.750199,-73.976571,ny_179
3.782222222,3.086666667,93.13111111,40.74902,-73.976571,ny_180
4.363333333,1.27,94.36666667,40.747842,-73.976571,ny_181
2.734444444,1.223333333,96.04222222,40.746663,-73.976571,ny_182
4.568888889,1.93,93.50111111,40.745484,-73.976571,ny_183
4.766666667,1.544444444,93.68888889,40.744306,-73.976571,ny_184
12.45666667,4.741111111,82.80222222,40.786723,-73.975002,ny_185
5.014444444,2,92.98555556,40.785545,-73.975002,ny_186
13.04666667,0.08777777778,86.86555556,40.784367,-73.975002,ny_187
12.30888889,0.08888888889,87.60222222,40.783189,-73.975002,ny_188
42.65,0.5977777778,56.75222222,40.782011,-73.975002,ny_189
25.48888889,7.714444444,66.79666667,40.780833,-73.975002,ny_190
12.53,6.348888889,81.12111111,40.779655,-73.975002,ny_191
10.42666667,9.688888889,79.88444444,40.778477,-73.975002,ny_192
38.53555556,5.348888889,56.11555556,40.777299,-73.975002,ny_193
72.93777778,0.9855555556,26.07666667,40.776121,-73.975002,ny_194
70.08444444,0.4266666667,29.48888889,40.774943,-73.975002,ny_195
77.74444444,0.2733333333,21.98222222,40.773765,-73.975002,ny_196
81.58222222,0.8533333333,17.56444444,40.772587,-73.975002,ny_197
98.69444444,0.01333333333,1.292222222,40.771409,-73.975002,ny_198
60.41777778,2.007777778,37.57444444,40.770231,-73.975002,ny_199
59.95222222,1.741111111,38.30666667,40.769052,-73.975002,ny_200
49.06333333,0.8055555556,50.13111111,40.767874,-73.975002,ny_201
69.83444444,1.581111111,28.58444444,40.766696,-73.975002,ny_202
36.40777778,17.35111111,46.24111111,40.765518,-73.975002,ny_203
0.3944444444,14.22222222,85.38333333,40.764339,-73.975002,ny_204
0.1666666667,6.757777778,93.07555556,40.763161,-73.975002,ny_205
2.424444444,7.782222222,89.79333333,40.761983,-73.975002,ny_206
0.5811111111,8.036666667,91.38222222,40.760805,-73.975002,ny_207
0.3177777778,11.76333333,87.91888889,40.759626,-73.975002,ny_208
0,6.087777778,93.91222222,40.758448,-73.975002,ny_209
0,6.021111111,93.97888889,40.757269,-73.975002,ny_210
0.9788888889,7.444444444,91.57666667,40.756091,-73.975002,ny_211
0.01111111111,3.558888889,96.43,40.754913,-73.975002,ny_212
0.3255555556,0.8655555556,98.80888889,40.753734,-73.975002,ny_213
0.5044444444,1.264444444,98.23111111,40.752556,-73.975002,ny_214
0.82,3.503333333,95.67666667,40.751377,-73.975002,ny_215
3.085555556,3.093333333,93.82111111,40.750199,-73.975002,ny_216
0.5811111111,1.542222222,97.87666667,40.74902,-73.975002,ny_217
6.972222222,0.8033333333,92.22444444,40.747842,-73.975002,ny_218
2.996666667,1.544444444,95.45888889,40.746663,-73.975002,ny_219
16.09333333,0.1533333333,83.75333333,40.745484,-73.975002,ny_220
1.821111111,1.024444444,97.15444444,40.744306,-73.975002,ny_221
3.144444444,10.08333333,86.77222222,40.786723,-73.973433,ny_222
1.758888889,4.487777778,93.75333333,40.785545,-73.973433,ny_223
9.853333333,0.3277777778,89.81888889,40.784367,-73.973433,ny_224
18.98444444,0.1844444444,80.83111111,40.783189,-73.973433,ny_225
42.63,0.4277777778,56.94222222,40.782011,-73.973433,ny_226
9.29,6.005555556,84.70444444,40.780833,-73.973433,ny_227
46.32777778,4.748888889,48.92333333,40.779655,-73.973433,ny_228
69.73333333,2.652222222,27.61444444,40.778477,-73.973433,ny_229
28.70777778,0.8211111111,70.47111111,40.777299,-73.973433,ny_230
29.28777778,0.09333333333,70.61888889,40.776121,-73.973433,ny_231
58.91555556,0.8544444444,40.23,40.774943,-73.973433,ny_232
72.55444444,0.1933333333,27.25222222,40.773765,-73.973433,ny_233
69.64,1.577777778,28.78222222,40.772587,-73.973433,ny_234
65.32666667,4.493333333,30.18,40.771409,-73.973433,ny_235
68.09333333,1.203333333,30.70333333,40.770231,-73.973433,ny_236
58.58333333,1.796666667,39.62,40.769052,-73.973433,ny_237
45.83333333,2.74,51.42666667,40.767874,-73.973433,ny_238
45.13444444,16.27222222,38.59333333,40.766696,-73.973433,ny_239
47.9,13.40555556,38.69444444,40.765518,-73.973433,ny_240
5.621111111,9.598888889,84.78,40.764339,-73.973433,ny_241
0.1722222222,3.374444444,96.45333333,40.763161,-73.973433,ny_242
2.088888889,25.48888889,72.42222222,40.761983,-73.973433,ny_243
0.6477777778,7.19,92.16222222,40.760805,-73.973433,ny_244
0.003333333333,6.707777778,93.28888889,40.759626,-73.973433,ny_245
0.02555555556,14.55,85.42444444,40.758448,-73.973433,ny_246
0.7422222222,16.53111111,82.72666667,40.757269,-73.973433,ny_247
2.007777778,2.834444444,95.15777778,40.756091,-73.973433,ny_248
0.001111111111,1.622222222,98.37666667,40.754913,-73.973433,ny_249
1.416666667,1.176666667,97.40666667,40.753734,-73.973433,ny_250
1.588888889,0.8133333333,97.59777778,40.752556,-73.973433,ny_251
0.5288888889,3.184444444,96.28666667,40.751377,-73.973433,ny_252
2.847777778,1.931111111,95.22111111,40.750199,-73.973433,ny_253
1.913333333,3.325555556,94.76111111,40.74902,-73.973433,ny_254
4.931111111,3.721111111,91.34777778,40.747842,-73.973433,ny_255
2.424444444,2.3,95.27555556,40.746663,-73.973433,ny_256
43.67777778,1.033333333,55.28888889,40.745484,-73.973433,ny_257
10.93777778,3.875555556,85.18666667,40.744306,-73.973433,ny_258
4.034444444,5.711111111,90.25444444,40.786723,-73.971864,ny_259
4.756666667,5.191111111,90.05222222,40.785545,-73.971864,ny_260
11.59444444,0.3255555556,88.08,40.784367,-73.971864,ny_261
9.593333333,0.8666666667,89.54,40.783189,-73.971864,ny_262
39.22888889,0.35,60.42111111,40.782011,-73.971864,ny_263
44.71444444,3.613333333,51.67222222,40.780833,-73.971864,ny_264
61.00111111,5.063333333,33.93555556,40.779655,-73.971864,ny_265
49.16222222,5.38,45.45777778,40.778477,-73.971864,ny_266
25.97222222,5.073333333,68.95444444,40.777299,-73.971864,ny_267
41.14555556,1.878888889,56.97555556,40.776121,-73.971864,ny_268
77.03666667,0.3022222222,22.66111111,40.774943,-73.971864,ny_269
72.22666667,0.3411111111,27.43222222,40.773765,-73.971864,ny_270
63.68444444,1.201111111,35.11444444,40.772587,-73.971864,ny_271
68.89555556,0.9766666667,30.12777778,40.771409,-73.971864,ny_272
