lat,lon,patch_idx
40.779655,-73.968726,ny_339
40.778477,-73.968726,ny_340
40.777299,-73.968726,ny_341
40.776121,-73.968726,ny_342
40.774943,-73.968726,ny_343
40.773765,-73.968726,ny_344
40.772587,-73.968726,ny_345
40.771409,-73.968726,ny_346
40.770231,-73.968726,ny_347
40.769052,-73.968726,ny_348
40.767874,-73.968726,ny_349
40.766696,-73.968726,ny_350
40.765518,-73.968726,ny_351
40.764339,-73.968726,ny_352
40.763161,-73.968726,ny_353
40.761983,-73.968726,ny_354
40.760805,-73.968726,ny_355
40.759626,-73.968726,ny_356
40.758448,-73.968726,ny_357
40.757269,-73.968726,ny_358
40.756091,-73.968726,ny_359
40.754913,-73.968726,ny_360
40.753734,-73.968726,ny_361
40.752556,-73.968726,ny_362
40.751377,-73.968726,ny_363
40.750199,-73.968726,ny_364
40.74902,-73.968726,ny_365
40.747842,-73.968726,ny_366
40.746663,-73.968726,ny_367
40.745484,-73.968726,ny_368
40.744306,-73.968726,ny_369
40.786723,-73.967157,ny_370
40.785545,-73.967157,ny_371
40.784367,-73.967157,ny_372
40.783189,-73.967157,ny_373
40.782011,-73.967157,ny_374
40.780833,-73.967157,ny_375
40.779655,-73.967157,ny_376
40.778477,-73.967157,ny_377
40.777299,-73.967157,ny_378
40.776121,-73.967157,ny_379
40.774943,-73.967157,ny_380
40.773765,-73.967157,ny_381
40.772587,-73.967157,ny_382
40.771409,-73.967157,ny_383
40.770231,-73.967157,ny_384
40.769052,-73.967157,ny_385
40.767874,-73.967157,ny_386
40.766696,-73.967157,ny_387
40.765518,-73.967157,ny_388
40.764339,-73.967157,ny_389
40.763161,-73.967157,ny_390
40.761983,-73.967157,ny_391
40.760805,-73.967157,ny_392
40.759626,-73.967157,ny_393
40.758448,-73.967157,ny_394
40.757269,-73.967157,ny_395
40.756091,-73.967157,ny_396
40.754913,-73.967157,ny_397
40.753734,-73.967157,ny_398
40.752556,-73.967157,ny_399
40.751377,-73.967157,ny_400
40.750199,-73.967157,ny_401
40.74902,-73.967157,ny_402
40.747842,-73.967157,ny_403
40.746663,-73.967157,ny_404
40.745484,-73.967157,ny_405
40.744306,-73.967157,ny_406
40.786723,-73.965587,ny_407
40.785545,-73.965587,ny_408
40.784367,-73.965587,ny_409
40.783189,-73.965587,ny_410
40.782011,-73.965587,ny_411
40.780833,-73.965587,ny_412
40.779655,-73.965587,ny_413
40.778477,-73.965587,ny_414
40.777299,-73.965587,ny_415
40.776121,-73.965587,ny_416
40.774943,-73.965587,ny_417
40.773765,-73.965587,ny_418
40.772587,-73.965587,ny_419
40.771409,-73.965587,ny_420
40.770231,-73.965587,ny_421
40.769052,-73.965587,ny_422
40.767874,-73.965587,ny_423
40.766696,-73.965587,ny_424
40.765518,-73.965587,ny_425
40.764339,-73.965587,ny_426
40.763161,-73.965587,ny_427
40.761983,-73.965587,ny_428
40.760805,-73.965587,ny_429
40.759626,-73.965587,ny_430
40.758448,-73.965587,ny_431
40.757269,-73.965587,ny_432
40.756091,-73.965587,ny_433
40.754913,-73.965587,ny_434
40.753734,-73.965587,ny_435
40.752556,-73.965587,ny_436
40.751377,-73.965587,ny_437
40.750199,-73.965587,ny_438
40.74902,-73.965587,ny_439
40.747842,-73.965587,ny_440
40.746663,-73.965587,ny_441
40.745484,-73.965587,ny_442
40.744306,-73.965587,ny_443
40.786723,-73.964018,ny_444
40.785545,-73.964018,ny_445
40.784367,-73.964018,ny_446
40.783189,-73.964018,ny_447
40.782011,-73.964018,ny_448
40.780833,-73.964018,ny_449
40.779655,-73.964018,ny_450
40.778477,-73.964018,ny_451
40.777299,-73.964018,ny_452
40.776121,-73.964018,ny_453
40.774943,-73.964018,ny_454
40.773765,-73.964018,ny_455
40.772587,-73.964018,ny_456
40.771409,-73.964018,ny_457
40.770231,-73.964018,ny_458
40.769052,-73.964018,ny_459
40.767874,-73.964018,ny_460
40.766696,-73.964018,ny_461
40.765518,-73.964018,ny_462
40.764339,-73.964018,ny_463
40.763161,-73.964018,ny_464
40.761983,-73.964018,ny_465
40.760805,-73.964018,ny_466
40.759626,-73.964018,ny_467
40.758448,-73.964018,ny_468
40.757269,-73.964018,ny_469
40.756091,-73.964018,ny_470
40.754913,-73.964018,ny_471
40.753734,-73.964018,ny_472
40.752556,-73.964018,ny_473
40.751377,-73.964018,ny_474
40.750199,-73.964018,ny_475
40.74902,-73.964018,ny_476
40.747842,-73.964018,ny_477
40.746663,-73.964018,ny_478
40.745484,-73.964018,ny_479
40.744306,-73.964018,ny_480
40.786723,-73.962449,ny_481
40.785545,-73.962449,ny_482
40.784367,-73.962449,ny_483
40.783189,-73.962449,ny_484
40.782011,-73.962449,ny_485
40.780833,-73.962449,ny_486
40.779655,-73.962449,ny_487
40.778477,-73.962449,ny_488
40.777299,-73.962449,ny_489
40.776121,-73.962449,ny_490
40.774943,-73.962449,ny_491
40.773765,-73.962449,ny_492
40.772587,-73.962449,ny_493
40.771409,-73.962449,ny_494
40.770231,-73.962449,ny_495
40.769052,-73.962449,ny_496
40.767874,-73.962449,ny_497
40.766696,-73.962449,ny_498
40.765518,-73.962449,ny_499
40.764339,-73.962449,ny_500
40.763161,-73.962449,ny_501
40.761983,-73.962449,ny_502
40.760805,-73.962449,ny_503
40.759626,-73.962449,ny_504
40.758448,-73.962449,ny_505
40.757269,-73.962449,ny_506
40.756091,-73.962449,ny_507
40.754913,-73.962449,ny_508
40.753734,-73.962449,ny_509
40.752556,-73.962449,ny_510
40.751377,-73.962449,ny_511
40.750199,-73.962449,ny_512
40.74902,-73.962449,ny_513
40.747842,-73.962449,ny_514
40.746663,-73.962449,ny_515
40.745484,-73.962449,ny_516
40.744306,-73.962449,ny_517
40.786723,-73.96088,ny_518
40.785545,-73.96088,ny_519
40.784367,-73.96088,ny_520
40.783189,-73.96088,ny_521
40.782011,-73.96088,ny_522
40.780833,-73.96088,ny_523
40.779655,-73.96088,ny_524
